sheet,state,metric,station_code,station_name,month,round,value,source_url,source_file
UK_BOD_2024,Uttarakhand,BOD,1491,BAGIRATHI AT GANGOTRI,October,second,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,5451,RIVER MANDAKINI AT KEDARNATH,September,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,5452,RIVER ALAKNANDA AT BADRINATH,September,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1485,"MANDAKINI B/C ALAKNANDA, RUDRAPRAYAG",January,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1485,"MANDAKINI B/C ALAKNANDA, RUDRAPRAYAG",July,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1485,"MANDAKINI B/C ALAKNANDA, RUDRAPRAYAG",September,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1484,"ALAKNANDA B/C MANDAKINI, RUDRA PRAYAG",January,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1484,"ALAKNANDA B/C MANDAKINI, RUDRA PRAYAG",July,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1484,"ALAKNANDA B/C MANDAKINI, RUDRA PRAYAG",September,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1486,"ALKANANDA A/C MANDAKINI, RUDRAPRAYAG",January,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1486,"ALKANANDA A/C MANDAKINI, RUDRAPRAYAG",July,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1486,"ALKANANDA A/C MANDAKINI, RUDRAPRAYAG",September,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1488,"BHAGIRATHI B/C ALAKNANDA, DEVPRAYAG",January,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1488,"BHAGIRATHI B/C ALAKNANDA, DEVPRAYAG",July,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1488,"BHAGIRATHI B/C ALAKNANDA, DEVPRAYAG",September,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1487,"ALAKNANDA B/C BHAGIRATHI, DEVPRAYAG",January,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1487,"ALAKNANDA B/C BHAGIRATHI, DEVPRAYAG",July,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1487,"ALAKNANDA B/C BHAGIRATHI, DEVPRAYAG",September,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
